imgSrc,alt,certificate,courseName,description,orgLink,orgName,courseLink
/static/image/python-logo.png,python,/static/image/CS50P.png,CS50P,Intoduction to programming with python,https://www.harvard.edu/,Harverd University,https://cs50.harvard.edu/python/
/static/image/python-logo.png,python,/static/image/kaggle_certificate.png,Python,Intoduction to python,https://kaggle.com,Kaggle,https://www.kaggle.com/learn/python/
/static/image/james-harrison-vpOeXr5wmR4-unsplash.jpg,computer science,/static/image/CS50X.png,CS50X,Introduction to Computer Science,https://www.harvard.edu/,Harverd University,https://cs50.harvard.edu/x/
/static/image/into_cyber.jpg,cybersicurity,/static/image/cyber.png,Introduction to cybersicurity,An Introductory course about cybersicurity,https://www.netacad.com/,Cisco Networking Academy,https://www.netacad.com/courses/introduction-to-cybersecurity?courseLang=en-US
/static/image/sql.png,database,/static/image/CS50_SQL.png,CS50 SQL,An introductory course about data set hadeling,https://www.harvard.edu/,Harverd University,https://cs50.harvard.edu/sql/
/static/image/sql.png,database,/static/image/sql_K.png,Intro to SQL,An introductory course about SQL lite,https://kaggle.com,Kaggle,https://www.kaggle.com/learn/intro-to-sql
/static/image/adsql.png,andvance database,/static/image/adsqlcert.png,Advance SQL,An upper level course of SQL,https://kaggle.com,Kaggle,https://www.kaggle.com/learn/advanced-sql
/static/image/cyber_E.png,cybersecurity essenstial,/static/image/Cyber_E_cert.png,Cybersicurity Essentials,An introductory cybersicurity course,https://www.netacad.com/,Cisco Networking Academy,https://www.netacad.com/courses/cybersecurity-essentials?courseLang=en-US
/static/image/0101_cy.jpg,cybersecurity ethecal hacker,/static/image/ethecal_hacker_cert.JPG,Ethical Hacker,An intermediate course of ethecal hacking course,https://www.netacad.com/,Cisco Networking Academy,https://www.netacad.com/courses/ethical-hacker?courseLang=en-US
/static/image/cp_or_badge.png,Junior Cybersecurity Analyst Ethecal Hacker,/static/image/ju_ana_cy.JPG,Junior Cybersecurity Analyst,An introductory course about cybersicurity analyst,https://www.netacad.com/,Cisco Networking Academy,https://www.netacad.com/career-paths/cybersecurity?courseLang=en-US
/static/image/CS50W_post.JPG,CS50's Web Programming with Python and JavaScript,/static/image/CS50W.png,CS50W,An introductory course about web programming,https://www.harvard.edu/,Harverd University,https://cs50.harvard.edu/web/#how-to-take-this-course
/static/image/ML_intro.jpg,Intro to Machine Learning,/static/image/intro_ML_cert.png,Intro to ML,An introductory course about Machine leaning this course is completely hands on,https://kaggle.com,Kaggle,https://www.kaggle.com/learn/intro-to-machine-learning
/static/image/ad_ML.jpg,Intermediate Machine Learning,/static/image/inter_ML_cert.png,Intermediate Machine learning,An Intermediate course of Machine learning,https://kaggle.com,Kaggle,https://www.kaggle.com/learn/intermediate-machine-learning
/static/image/pandas.JPG,Pandase Machine Learning Data science,/static/image/pandas_cert.png,Pandas,An introductory course about python's pandas library,https://kaggle.com,Kaggle,https://www.kaggle.com/learn/pandas
/static/image/python-logo.png,python,/static/image/fcc_python.png,Python Certification,Intoduction to programming with python,https://www.freecodecamp.org/,Free Code Camp,https://www.freecodecamp.org/learn/python-v9/#lecture-introduction-to-python
/static/image/Os.JPG,Operating System Cybersecurity ethecal hacking,/static/image/Os_cert.png,Operating System Course: Learn Fundamentals of Operating System,Introduction to Operating system,https://www.scaler.com/topics/,sceler topic,https://www.scaler.com/topics/course/free-operating-system-course/
/static/image/excel.JPG,Introduction to Microsoft Excel,/static/image/intro_to_excel.png,Introduction to MS excel,An introductory course of Microsoft excel,https://lms.simplilearn.com/dashboard,simplilearn,https://lms.simplilearn.com/courses/4277/Introduction-to-MS-Excel/syllabus
/static/image/excel.JPG,Business Analytics with Excel_,/static/image/bawe_cert.png,Business Analytics with Excel_,A course where people can learn how to apply excel in business,https://lms.simplilearn.com/dashboard,simplilearn,https://lms.simplilearn.com/courses/8717/Business-Analytics-with-Excel_/syllabus
/static/image/linux.JPG,Linux Unhatched Fundamentals,/static/image/linux_cert.JPG,Linux Unhatched,An introductory course about linux,https://www.netacad.com/,Cisco Networking Academy,https://www.netacad.com/courses/linux-unhatched?courseLang=en-US
/static/image/linux1.JPG,Linux Essentials,/static/image/linux1_cert.JPG,Linux Essentials,An intermediate course about linux,https://www.netacad.com/,Cisco Networking Academy,https://www.netacad.com/courses/linux-essentials?courseLang=en-US
